response_key,response_time_min,mitigation_method,outcome,security_tools_used
89,108,Quarantine,Failure,Endpoint Detection
90,168,Quarantine,Success,VPN
91,96,Block IP,Success,IDS
92,52,Quarantine,Failure,VPN
93,115,Containment,Success,WAF
94,123,Containment,Failure,Antivirus
95,136,Reset Credentials,Success,Antivirus
96,54,Reset Credentials,Failure,Firewall
97,153,Containment,Success,IDS
98,173,Containment,Success,WAF
99,78,Containment,Failure,Antivirus
100,147,Quarantine,Success,WAF
101,145,Reset Credentials,Failure,Firewall
102,54,Block IP,Failure,MFA
103,172,Patch,Failure,Endpoint Detection
104,93,Patch,Failure,WAF
105,136,Quarantine,Failure,Firewall
106,24,Containment,Success,VPN
107,37,Quarantine,Success,WAF
108,162,Patch,Failure,WAF
109,13,Block IP,Failure,Endpoint Detection
110,100,Block IP,Failure,SIEM
111,85,Block IP,Failure,SIEM
112,82,Block IP,Success,Antivirus
113,135,Quarantine,Success,Endpoint Detection
114,69,Block IP,Success,Firewall
115,84,Containment,Failure,Firewall
116,118,Patch,Failure,MFA
117,141,Block IP,Failure,IDS
118,41,Patch,Failure,Endpoint Detection
119,143,Block IP,Success,IDS
120,64,Patch,Failure,SIEM
121,21,Containment,Failure,Firewall
122,134,Block IP,Failure,SIEM
123,161,Reset Credentials,Failure,Firewall
124,127,Quarantine,Failure,MFA
125,151,Reset Credentials,Success,Antivirus
126,3,Patch,Failure,Firewall
127,177,Containment,Failure,SIEM
128,59,Patch,Success,Antivirus
129,146,Containment,Success,Firewall
130,26,Reset Credentials,Success,Firewall
131,25,Patch,Failure,SIEM
132,164,Containment,Failure,Endpoint Detection
133,138,Quarantine,Failure,VPN
134,153,Containment,Failure,Endpoint Detection
135,6,Patch,Failure,VPN
136,40,Containment,Failure,Antivirus
137,40,Containment,Failure,Firewall
138,91,Quarantine,Failure,VPN
139,41,Reset Credentials,Success,Antivirus
140,28,Containment,Success,IDS
141,91,Containment,Success,SIEM
142,17,Patch,Failure,WAF
143,70,Containment,Failure,Endpoint Detection
144,4,Block IP,Success,VPN
145,86,Reset Credentials,Failure,Antivirus
146,115,Reset Credentials,Failure,VPN
147,99,Quarantine,Success,WAF
148,180,Containment,Failure,MFA
149,163,Quarantine,Success,SIEM
150,116,Quarantine,Success,IDS
151,116,Block IP,Success,Firewall
152,143,Block IP,Failure,SIEM
153,70,Patch,Success,Antivirus
154,119,Block IP,Failure,VPN
155,100,Quarantine,Failure,Antivirus
156,62,Block IP,Failure,IDS
157,55,Block IP,Failure,WAF
158,60,Containment,Success,SIEM
159,27,Containment,Success,IDS
160,71,Patch,Failure,MFA
161,101,Containment,Failure,Firewall
162,4,Reset Credentials,Failure,SIEM
163,158,Quarantine,Failure,VPN
164,30,Patch,Failure,IDS
165,123,Patch,Failure,Firewall
166,173,Quarantine,Success,VPN
167,51,Block IP,Success,Antivirus
168,145,Patch,Success,SIEM
169,64,Containment,Success,IDS
170,32,Block IP,Success,Antivirus
171,70,Quarantine,Failure,SIEM
172,150,Patch,Success,VPN
173,14,Quarantine,Failure,SIEM
174,89,Patch,Success,Firewall
175,174,Containment,Success,Endpoint Detection
176,147,Quarantine,Success,VPN
177,138,Containment,Failure,Antivirus
178,128,Block IP,Success,Antivirus
179,74,Patch,Failure,SIEM
180,39,Block IP,Success,Firewall
181,135,Quarantine,Success,Endpoint Detection
182,77,Reset Credentials,Success,MFA
183,111,Block IP,Success,WAF
184,102,Containment,Success,Firewall
185,148,Block IP,Success,MFA
186,179,Quarantine,Failure,IDS
187,175,Patch,Failure,Antivirus
188,118,Quarantine,Failure,IDS
189,104,Quarantine,Success,VPN
190,37,Patch,Success,Endpoint Detection
191,65,Reset Credentials,Failure,WAF
192,35,Patch,Success,MFA
193,22,Reset Credentials,Failure,Antivirus
194,26,Block IP,Success,MFA
195,51,Quarantine,Success,IDS
196,104,Quarantine,Success,Antivirus
197,124,Block IP,Failure,Antivirus
198,95,Patch,Success,IDS
199,140,Patch,Failure,Firewall
200,7,Block IP,Success,Antivirus
201,102,Patch,Success,WAF
202,49,Patch,Failure,Firewall
203,46,Quarantine,Failure,IDS
204,118,Patch,Failure,SIEM
205,135,Patch,Failure,Antivirus
206,44,Containment,Failure,Antivirus
207,166,Reset Credentials,Success,Firewall
208,154,Patch,Success,SIEM
209,161,Patch,Failure,Firewall
210,119,Block IP,Success,WAF
211,22,Quarantine,Failure,MFA
212,104,Quarantine,Success,VPN
213,140,Block IP,Success,Endpoint Detection
214,3,Quarantine,Success,SIEM
215,14,Quarantine,Success,Firewall
216,138,Containment,Success,WAF
217,64,Patch,Failure,Antivirus
218,110,Block IP,Failure,SIEM
219,49,Block IP,Failure,Endpoint Detection
220,39,Containment,Failure,Endpoint Detection
221,175,Patch,Success,SIEM
222,107,Block IP,Failure,MFA
223,110,Block IP,Success,IDS
224,81,Patch,Success,VPN
225,59,Containment,Success,VPN
226,161,Patch,Failure,Endpoint Detection
227,104,Quarantine,Success,Firewall
228,91,Block IP,Success,Antivirus
229,64,Block IP,Failure,Antivirus
230,92,Block IP,Success,IDS
231,52,Containment,Success,IDS
232,24,Quarantine,Failure,VPN
233,2,Quarantine,Failure,Endpoint Detection
234,132,Block IP,Failure,IDS
235,90,Quarantine,Failure,Firewall
236,127,Patch,Success,Firewall
237,62,Reset Credentials,Failure,MFA
238,153,Reset Credentials,Failure,SIEM
239,177,Reset Credentials,Failure,SIEM
240,5,Quarantine,Success,WAF
241,126,Quarantine,Failure,VPN
242,67,Block IP,Failure,Antivirus
243,160,Block IP,Success,IDS
244,135,Block IP,Success,MFA
245,173,Reset Credentials,Failure,SIEM
246,53,Patch,Failure,Firewall
247,95,Block IP,Failure,WAF
248,48,Reset Credentials,Success,Firewall
249,115,Containment,Success,MFA
250,151,Patch,Failure,SIEM
251,42,Quarantine,Success,IDS
252,9,Patch,Failure,MFA
253,135,Containment,Success,Endpoint Detection
254,1,Containment,Success,Firewall
255,100,Patch,Failure,VPN
256,93,Patch,Failure,MFA
257,64,Quarantine,Failure,SIEM
258,124,Patch,Success,VPN
259,40,Quarantine,Failure,SIEM
260,9,Block IP,Success,Endpoint Detection
261,176,Block IP,Success,VPN
262,88,Patch,Failure,MFA
263,115,Reset Credentials,Success,IDS
264,163,Containment,Failure,MFA
265,161,Quarantine,Success,VPN
266,58,Patch,Success,SIEM
267,175,Reset Credentials,Success,Endpoint Detection
268,101,Quarantine,Success,IDS
269,80,Quarantine,Success,WAF
270,116,Block IP,Failure,MFA
271,87,Reset Credentials,Failure,SIEM
272,44,Reset Credentials,Failure,Antivirus
273,101,Quarantine,Failure,VPN
274,34,Reset Credentials,Failure,SIEM
275,46,Block IP,Failure,WAF
276,82,Patch,Failure,Antivirus
277,42,Containment,Success,Endpoint Detection
278,153,Containment,Failure,IDS
279,108,Patch,Success,VPN
280,72,Patch,Success,Endpoint Detection
281,32,Block IP,Success,Antivirus
282,68,Containment,Success,IDS
283,21,Quarantine,Success,Firewall
284,70,Containment,Success,Antivirus
285,101,Containment,Success,Endpoint Detection
286,68,Containment,Success,VPN
287,40,Quarantine,Failure,IDS
288,158,Patch,Success,Firewall
289,42,Patch,Failure,VPN
290,153,Block IP,Success,VPN
291,52,Quarantine,Success,Endpoint Detection
292,131,Reset Credentials,Success,MFA
293,131,Block IP,Failure,VPN
294,180,Quarantine,Success,VPN
295,180,Quarantine,Success,Antivirus
296,98,Containment,Success,IDS
297,89,Quarantine,Success,SIEM
298,25,Containment,Failure,Antivirus
299,166,Block IP,Success,WAF
300,37,Quarantine,Failure,IDS
301,93,Block IP,Failure,Antivirus
302,117,Block IP,Success,VPN
303,162,Reset Credentials,Failure,Antivirus
304,32,Block IP,Success,IDS
305,119,Block IP,Success,WAF
306,2,Patch,Success,MFA
307,19,Containment,Failure,SIEM
308,85,Reset Credentials,Failure,MFA
309,178,Block IP,Success,VPN
310,111,Reset Credentials,Success,Firewall
311,105,Block IP,Failure,SIEM
312,114,Reset Credentials,Success,Endpoint Detection
313,177,Containment,Success,Firewall
314,163,Quarantine,Failure,MFA
315,174,Reset Credentials,Success,Endpoint Detection
316,33,Block IP,Failure,MFA
317,139,Containment,Failure,Endpoint Detection
318,98,Containment,Failure,IDS
319,13,Patch,Failure,SIEM
320,58,Containment,Success,SIEM
321,130,Patch,Success,VPN
322,145,Quarantine,Failure,MFA
323,27,Patch,Success,WAF
324,141,Quarantine,Success,SIEM
325,3,Block IP,Failure,WAF
326,100,Containment,Success,IDS
327,11,Containment,Success,Antivirus
328,26,Patch,Success,Firewall
329,114,Block IP,Failure,MFA
330,152,Quarantine,Success,SIEM
331,124,Containment,Success,VPN
332,61,Block IP,Success,Firewall
333,179,Block IP,Success,Antivirus
334,51,Patch,Success,IDS
335,177,Block IP,Failure,VPN
336,123,Quarantine,Failure,VPN
337,15,Containment,Success,Endpoint Detection
338,107,Patch,Success,IDS
339,169,Containment,Success,SIEM
340,38,Block IP,Failure,WAF
341,36,Containment,Failure,SIEM
342,40,Reset Credentials,Success,WAF
343,43,Quarantine,Success,WAF
344,114,Containment,Failure,VPN
345,55,Quarantine,Failure,VPN
346,40,Quarantine,Success,MFA
347,84,Patch,Success,Antivirus
348,84,Quarantine,Success,IDS
349,63,Block IP,Success,Antivirus
350,31,Block IP,Success,IDS
351,160,Block IP,Failure,WAF
352,79,Containment,Failure,WAF
353,71,Reset Credentials,Success,MFA
354,4,Block IP,Failure,Endpoint Detection
355,45,Block IP,Failure,IDS
356,114,Quarantine,Success,WAF
357,91,Patch,Failure,VPN
358,59,Block IP,Success,SIEM
359,78,Patch,Success,WAF
360,134,Containment,Failure,VPN
361,8,Containment,Failure,Endpoint Detection
362,49,Block IP,Success,Firewall
363,144,Block IP,Failure,IDS
364,68,Containment,Failure,WAF
365,6,Quarantine,Failure,SIEM
366,9,Block IP,Failure,WAF
367,103,Block IP,Failure,IDS
368,54,Reset Credentials,Failure,WAF
369,112,Quarantine,Success,Endpoint Detection
370,125,Patch,Failure,SIEM
371,48,Quarantine,Success,WAF
372,57,Block IP,Success,SIEM
373,37,Containment,Success,SIEM
374,12,Containment,Success,VPN
375,125,Quarantine,Failure,SIEM
376,131,Reset Credentials,Failure,Endpoint Detection
377,57,Patch,Success,WAF
378,43,Quarantine,Failure,Antivirus
379,13,Containment,Success,SIEM
380,155,Block IP,Failure,Endpoint Detection
381,160,Block IP,Success,SIEM
382,22,Block IP,Success,Firewall
383,110,Containment,Failure,SIEM
384,13,Quarantine,Failure,MFA
385,4,Block IP,Success,WAF
386,154,Patch,Failure,Antivirus
387,86,Containment,Failure,VPN
388,178,Quarantine,Failure,WAF
389,11,Quarantine,Failure,SIEM
390,14,Block IP,Failure,VPN
391,177,Block IP,Failure,IDS
392,60,Patch,Success,Firewall
393,70,Patch,Failure,MFA
394,142,Containment,Success,SIEM
395,12,Block IP,Success,WAF
396,163,Patch,Failure,Antivirus
397,148,Block IP,Failure,WAF
398,135,Quarantine,Success,Antivirus
399,94,Containment,Success,Endpoint Detection
400,16,Quarantine,Failure,MFA
401,156,Block IP,Failure,IDS
402,124,Block IP,Failure,IDS
403,61,Patch,Failure,SIEM
404,20,Patch,Success,Endpoint Detection
405,138,Block IP,Success,Antivirus
406,90,Block IP,Failure,Endpoint Detection
407,162,Containment,Success,Antivirus
408,70,Block IP,Success,WAF
409,112,Block IP,Failure,Antivirus
410,118,Reset Credentials,Failure,SIEM
411,124,Patch,Success,IDS
412,4,Patch,Failure,WAF
413,24,Patch,Failure,IDS
414,11,Quarantine,Failure,IDS
415,67,Quarantine,Success,MFA
416,114,Containment,Failure,WAF
417,53,Reset Credentials,Failure,IDS
418,24,Patch,Failure,IDS
419,4,Reset Credentials,Success,SIEM
420,62,Patch,Success,WAF
421,167,Reset Credentials,Success,Firewall
422,130,Quarantine,Failure,SIEM
423,14,Reset Credentials,Success,SIEM
424,98,Reset Credentials,Success,VPN
425,60,Patch,Failure,MFA
426,77,Containment,Success,Endpoint Detection
427,148,Patch,Success,SIEM
428,34,Block IP,Success,SIEM
429,160,Reset Credentials,Success,SIEM
430,91,Containment,Failure,WAF
431,178,Containment,Failure,SIEM
432,84,Reset Credentials,Success,VPN
433,79,Reset Credentials,Failure,MFA
434,56,Containment,Success,MFA
435,143,Quarantine,Success,IDS
436,16,Block IP,Success,IDS
437,145,Block IP,Success,MFA
438,141,Reset Credentials,Failure,VPN
439,121,Patch,Success,MFA
440,33,Reset Credentials,Success,SIEM
441,75,Patch,Failure,VPN
442,151,Containment,Success,MFA
443,47,Containment,Failure,IDS
444,109,Block IP,Failure,Firewall
445,10,Block IP,Success,SIEM
446,156,Patch,Success,SIEM
447,141,Reset Credentials,Success,Firewall
448,178,Reset Credentials,Failure,Firewall
449,7,Patch,Failure,Antivirus
450,58,Block IP,Success,MFA
451,161,Containment,Failure,WAF
452,97,Containment,Success,MFA
453,95,Reset Credentials,Success,MFA
454,113,Reset Credentials,Failure,SIEM
455,170,Patch,Failure,Firewall
456,55,Block IP,Success,Firewall
457,145,Containment,Success,VPN
458,137,Reset Credentials,Failure,IDS
459,169,Block IP,Success,Endpoint Detection
460,12,Containment,Failure,SIEM
461,4,Reset Credentials,Failure,WAF
462,73,Containment,Success,VPN
463,135,Patch,Success,Antivirus
464,29,Block IP,Success,Endpoint Detection
465,71,Patch,Success,Antivirus
466,153,Patch,Success,SIEM
467,138,Reset Credentials,Failure,VPN
468,106,Reset Credentials,Failure,WAF
469,6,Reset Credentials,Success,Firewall
470,5,Block IP,Failure,VPN
471,136,Block IP,Failure,Firewall
472,119,Containment,Failure,MFA
473,19,Block IP,Failure,Endpoint Detection
474,94,Reset Credentials,Failure,SIEM
475,98,Block IP,Failure,SIEM
476,122,Containment,Failure,WAF
477,3,Containment,Success,Antivirus
478,124,Containment,Failure,WAF
479,46,Patch,Failure,Endpoint Detection
480,116,Quarantine,Success,Antivirus
481,80,Reset Credentials,Success,MFA
482,53,Reset Credentials,Success,SIEM
483,106,Quarantine,Success,MFA
484,97,Containment,Failure,SIEM
485,85,Containment,Success,Antivirus
486,14,Containment,Success,Antivirus
487,130,Reset Credentials,Success,Endpoint Detection
488,113,Reset Credentials,Failure,Firewall
489,158,Reset Credentials,Failure,VPN
490,90,Patch,Failure,Endpoint Detection
491,118,Patch,Success,Endpoint Detection
492,108,Reset Credentials,Success,VPN
493,94,Quarantine,Failure,WAF
494,45,Patch,Success,Endpoint Detection
495,3,Patch,Failure,Antivirus
496,13,Patch,Failure,WAF
497,141,Block IP,Failure,Antivirus
498,52,Containment,Success,Endpoint Detection
499,38,Block IP,Failure,MFA
500,38,Containment,Failure,WAF
501,161,Block IP,Success,Firewall
502,67,Containment,Success,MFA
503,144,Block IP,Success,SIEM
504,1,Block IP,Failure,MFA
505,172,Patch,Success,VPN
506,55,Quarantine,Failure,MFA
507,175,Patch,Failure,VPN
508,88,Reset Credentials,Failure,Antivirus
509,82,Reset Credentials,Success,IDS
510,120,Containment,Success,WAF
511,143,Containment,Failure,Endpoint Detection
512,125,Patch,Success,WAF
513,100,Patch,Failure,Antivirus
514,48,Block IP,Failure,Antivirus
515,96,Patch,Success,MFA
516,123,Quarantine,Success,IDS
517,124,Patch,Failure,SIEM
518,15,Block IP,Success,SIEM
519,46,Quarantine,Failure,MFA
520,142,Reset Credentials,Success,Firewall
521,176,Block IP,Failure,VPN
522,88,Patch,Success,Endpoint Detection
523,159,Patch,Failure,WAF
524,174,Quarantine,Failure,MFA
525,9,Reset Credentials,Success,Endpoint Detection
526,85,Quarantine,Success,IDS
527,34,Quarantine,Failure,Antivirus
528,76,Patch,Success,SIEM
529,69,Patch,Success,SIEM
530,125,Quarantine,Failure,Antivirus
531,23,Quarantine,Failure,Endpoint Detection
532,176,Containment,Failure,SIEM
533,99,Containment,Success,IDS
534,109,Containment,Success,Endpoint Detection
535,101,Reset Credentials,Success,SIEM
536,97,Quarantine,Success,WAF
537,59,Containment,Failure,Antivirus
538,12,Block IP,Failure,IDS
539,121,Patch,Success,IDS
540,53,Block IP,Success,SIEM
541,111,Containment,Failure,MFA
542,110,Block IP,Success,VPN
543,28,Quarantine,Failure,Antivirus
544,21,Containment,Success,Endpoint Detection
545,73,Patch,Failure,MFA
546,34,Containment,Success,Antivirus
547,126,Patch,Failure,MFA
548,117,Block IP,Success,SIEM
549,112,Reset Credentials,Success,WAF
550,136,Patch,Failure,MFA
551,106,Patch,Success,Endpoint Detection
552,53,Patch,Success,WAF
553,13,Patch,Success,WAF
554,19,Quarantine,Success,WAF
555,74,Reset Credentials,Failure,Firewall
556,72,Containment,Failure,SIEM
557,134,Quarantine,Success,IDS
558,45,Patch,Success,IDS
559,6,Patch,Success,VPN
560,117,Reset Credentials,Success,SIEM
561,159,Containment,Failure,Firewall
562,41,Containment,Success,IDS
563,179,Reset Credentials,Success,Firewall
564,127,Quarantine,Failure,Firewall
565,51,Block IP,Success,WAF
566,16,Block IP,Failure,Antivirus
567,122,Containment,Failure,MFA
568,34,Quarantine,Failure,IDS
569,173,Patch,Success,Endpoint Detection
570,127,Quarantine,Failure,VPN
571,114,Block IP,Failure,Firewall
572,127,Block IP,Success,WAF
573,180,Block IP,Failure,Endpoint Detection
574,70,Patch,Failure,VPN
575,15,Block IP,Failure,Antivirus
576,105,Containment,Success,IDS
577,68,Reset Credentials,Failure,Endpoint Detection
578,57,Block IP,Success,Firewall
579,97,Patch,Success,WAF
580,159,Patch,Success,WAF
581,1,Patch,Success,VPN
582,4,Patch,Failure,MFA
583,130,Quarantine,Failure,Antivirus
584,154,Containment,Failure,SIEM
585,154,Patch,Success,IDS
586,133,Block IP,Success,IDS
587,14,Patch,Failure,Firewall
588,63,Patch,Success,MFA
589,137,Reset Credentials,Failure,WAF
590,50,Quarantine,Failure,Endpoint Detection
591,5,Containment,Failure,IDS
592,123,Reset Credentials,Success,Firewall
593,106,Containment,Failure,VPN
594,112,Quarantine,Success,Antivirus
595,29,Patch,Success,IDS
596,5,Reset Credentials,Success,SIEM
597,159,Block IP,Success,WAF
598,27,Containment,Success,SIEM
599,26,Containment,Failure,WAF
600,43,Patch,Failure,IDS
601,112,Patch,Success,WAF
602,18,Containment,Failure,Antivirus
603,136,Reset Credentials,Success,Endpoint Detection
604,175,Quarantine,Success,IDS
605,155,Quarantine,Failure,Endpoint Detection
606,45,Quarantine,Failure,Antivirus
607,48,Reset Credentials,Failure,IDS
608,166,Reset Credentials,Success,VPN
609,54,Patch,Failure,Firewall
610,45,Patch,Success,Antivirus
611,25,Patch,Success,SIEM
612,137,Patch,Failure,Antivirus
613,113,Block IP,Failure,Antivirus
614,76,Patch,Success,Endpoint Detection
615,97,Quarantine,Success,Endpoint Detection
616,45,Patch,Success,MFA
617,90,Quarantine,Failure,Endpoint Detection
618,178,Reset Credentials,Success,SIEM
619,73,Patch,Failure,SIEM
620,143,Quarantine,Success,MFA
621,1,Reset Credentials,Success,SIEM
622,74,Block IP,Success,VPN
623,43,Containment,Success,SIEM
624,63,Containment,Success,IDS
625,24,Containment,Success,MFA
626,105,Quarantine,Failure,Endpoint Detection
627,104,Containment,Success,WAF
628,158,Containment,Failure,Antivirus
629,26,Reset Credentials,Success,MFA
630,57,Reset Credentials,Success,SIEM
631,147,Block IP,Failure,VPN
632,160,Patch,Success,Antivirus
633,19,Reset Credentials,Success,SIEM
634,52,Reset Credentials,Success,MFA
635,134,Reset Credentials,Success,IDS
636,61,Reset Credentials,Success,Firewall
637,117,Block IP,Failure,Endpoint Detection
638,106,Reset Credentials,Success,SIEM
639,90,Reset Credentials,Failure,MFA
640,177,Quarantine,Success,Firewall
641,46,Containment,Failure,MFA
642,126,Patch,Failure,Endpoint Detection
643,78,Containment,Success,WAF
644,59,Reset Credentials,Success,WAF
645,143,Block IP,Failure,MFA
646,73,Containment,Failure,Endpoint Detection
647,8,Block IP,Failure,Firewall
648,6,Patch,Failure,WAF
649,146,Block IP,Failure,Antivirus
650,167,Patch,Success,SIEM
651,126,Patch,Failure,Antivirus
652,14,Reset Credentials,Success,WAF
653,172,Containment,Failure,Firewall
654,160,Containment,Success,Endpoint Detection
655,174,Reset Credentials,Success,WAF
656,70,Quarantine,Failure,SIEM
657,136,Block IP,Failure,Antivirus
658,128,Patch,Failure,VPN
659,165,Block IP,Failure,Antivirus
660,98,Reset Credentials,Failure,VPN
661,49,Containment,Failure,Endpoint Detection
662,161,Block IP,Failure,SIEM
663,116,Block IP,Failure,Endpoint Detection
664,174,Containment,Success,IDS
665,14,Containment,Failure,Endpoint Detection
666,163,Containment,Success,Firewall
667,53,Containment,Success,WAF
668,130,Quarantine,Failure,IDS
669,152,Block IP,Success,Firewall
670,132,Reset Credentials,Success,MFA
671,178,Containment,Success,VPN
672,106,Containment,Failure,Endpoint Detection
673,69,Block IP,Failure,IDS
674,142,Containment,Success,Endpoint Detection
675,133,Block IP,Success,IDS
676,105,Reset Credentials,Success,Endpoint Detection
677,58,Quarantine,Failure,Firewall
678,2,Reset Credentials,Success,VPN
679,37,Patch,Success,MFA
680,66,Block IP,Success,MFA
681,30,Reset Credentials,Success,Firewall
682,117,Containment,Success,Endpoint Detection
683,113,Patch,Success,SIEM
684,32,Reset Credentials,Failure,Endpoint Detection
685,118,Reset Credentials,Success,Antivirus
686,32,Patch,Success,WAF
687,134,Containment,Success,MFA
688,8,Containment,Success,Antivirus
689,22,Patch,Success,MFA
690,123,Reset Credentials,Success,Endpoint Detection
691,112,Containment,Failure,Firewall
692,89,Reset Credentials,Failure,VPN
693,107,Reset Credentials,Success,VPN
694,13,Patch,Failure,IDS
695,139,Patch,Success,Antivirus
696,125,Quarantine,Failure,WAF
697,128,Patch,Success,Antivirus
698,8,Reset Credentials,Success,Endpoint Detection
699,61,Block IP,Success,Endpoint Detection
700,136,Containment,Failure,IDS
701,149,Block IP,Success,VPN
702,25,Block IP,Failure,WAF
703,88,Patch,Success,Antivirus
704,38,Containment,Success,Antivirus
705,54,Reset Credentials,Success,Antivirus
706,28,Block IP,Success,IDS
707,102,Block IP,Success,MFA
708,74,Containment,Success,Firewall
709,152,Patch,Success,WAF
710,1,Quarantine,Success,SIEM
711,118,Quarantine,Failure,MFA
712,146,Quarantine,Success,SIEM
713,106,Reset Credentials,Failure,WAF
714,135,Quarantine,Failure,Firewall
715,173,Containment,Success,Firewall
716,31,Quarantine,Failure,MFA
717,120,Quarantine,Success,Endpoint Detection
718,12,Patch,Success,Antivirus
719,145,Containment,Success,MFA
720,83,Block IP,Success,Endpoint Detection
721,10,Patch,Success,VPN
722,148,Patch,Success,Endpoint Detection
723,118,Patch,Success,Firewall
724,108,Block IP,Failure,Firewall
725,154,Patch,Success,WAF
726,107,Containment,Failure,Antivirus
727,24,Patch,Failure,Antivirus
728,35,Quarantine,Success,Firewall
729,133,Patch,Success,VPN
730,80,Containment,Success,Firewall
731,141,Reset Credentials,Failure,IDS
732,79,Patch,Failure,Antivirus
733,15,Patch,Failure,IDS
734,99,Block IP,Failure,Firewall
735,38,Containment,Success,MFA
736,172,Quarantine,Failure,WAF
737,46,Quarantine,Success,VPN
738,159,Block IP,Success,WAF
739,87,Containment,Success,SIEM
740,148,Quarantine,Failure,SIEM
741,62,Patch,Success,VPN
742,103,Block IP,Failure,Antivirus
743,112,Reset Credentials,Failure,SIEM
744,75,Containment,Success,SIEM
745,18,Containment,Success,VPN
746,126,Quarantine,Success,VPN
747,4,Containment,Failure,MFA
748,128,Containment,Failure,MFA
749,165,Containment,Failure,Antivirus
750,146,Reset Credentials,Failure,VPN
751,131,Containment,Failure,WAF
752,49,Block IP,Failure,Endpoint Detection
753,19,Block IP,Failure,WAF
754,27,Quarantine,Success,MFA
755,95,Quarantine,Failure,VPN
756,176,Quarantine,Failure,WAF
757,135,Reset Credentials,Success,WAF
758,132,Reset Credentials,Success,SIEM
759,153,Patch,Failure,VPN
760,124,Patch,Success,MFA
761,31,Patch,Success,Endpoint Detection
762,134,Containment,Success,Antivirus
763,45,Reset Credentials,Success,Firewall
764,178,Containment,Success,VPN
765,3,Block IP,Success,Firewall
766,165,Patch,Failure,SIEM
767,85,Block IP,Failure,WAF
768,94,Block IP,Success,Antivirus
769,151,Containment,Success,Endpoint Detection
770,60,Quarantine,Success,SIEM
771,29,Quarantine,Failure,Antivirus
772,34,Reset Credentials,Failure,SIEM
773,52,Reset Credentials,Failure,Endpoint Detection
774,87,Containment,Failure,MFA
775,172,Containment,Failure,Endpoint Detection
776,122,Patch,Success,Firewall
777,44,Quarantine,Failure,VPN
778,103,Patch,Success,MFA
779,93,Quarantine,Success,Antivirus
780,178,Containment,Success,Firewall
