incident_key,time_key,location_key,industry_key,attack_type,attack_severity,data_compromised_GB,attack_duration_min,response_time_min,outcome,TSI_score
66,66,9,7,Zero-Day Exploit,1,46.73,53,33,Failure,2.3518999999999997
67,67,7,3,Phishing,9,24.82,288,131,Failure,6.527933333333333
68,68,4,3,DDoS,4,21.87,227,29,Failure,2.7394333333333334
69,69,6,4,Cross-Site Scripting,1,41.68,126,17,Failure,1.933733333333333
70,70,9,3,Cross-Site Scripting,4,71.96,30,142,Success,6.125466666666666
71,71,10,5,Zero-Day Exploit,2,97.25,97,12,Success,3.9175000000000004
72,72,4,2,DDoS,7,85.6,149,16,Failure,5.634666666666667
73,73,2,8,Brute Force,3,38.19,214,87,Success,3.7957
74,74,7,2,Cross-Site Scripting,6,35.56,295,118,Success,5.433466666666667
75,75,1,8,Ransomware,7,40.73,136,178,Failure,6.988566666666667
76,76,1,5,Zero-Day Exploit,3,81.55,196,176,Success,6.579833333333333
77,77,10,6,Brute Force,9,10.27,34,65,Failure,4.991433333333333
78,78,2,5,Cross-Site Scripting,2,11.29,41,84,Failure,2.5387000000000004
79,79,4,5,Ransomware,10,60.09,57,85,Failure,7.219366666666667
80,80,3,2,Malware,7,1.8,96,92,Failure,4.387333333333333
81,81,1,4,SQL Injection,10,56.91,27,153,Success,8.2573
82,82,6,7,Zero-Day Exploit,5,83.12,126,178,Success,7.4602666666666675
83,83,5,6,Ransomware,8,86.29,234,110,Success,7.622033333333334
84,84,5,4,DDoS,4,20.76,223,100,Failure,3.889466666666667
85,85,2,2,Brute Force,7,11.89,136,123,Success,5.2067000000000005
86,86,9,6,Brute Force,4,98.74,92,10,Success,4.728866666666667
87,87,4,5,Malware,2,69.75,235,51,Failure,3.7424999999999997
88,88,1,2,SQL Injection,4,4.15,229,135,Failure,3.9745
89,89,6,2,Malware,2,13.09,36,108,Failure,2.9927
90,90,6,1,Malware,4,90.62,168,168,Success,7.118600000000001
91,91,4,4,Brute Force,3,97.01,9,96,Success,5.7103
92,92,3,3,Cross-Site Scripting,6,80.86,198,52,Failure,5.692466666666667
93,93,9,1,Cross-Site Scripting,8,24.1,227,115,Success,5.839666666666666
94,94,6,8,Malware,8,75.23,31,123,Failure,7.5069
95,95,6,6,Brute Force,1,64.36,19,136,Success,4.597466666666667
96,96,6,7,Zero-Day Exploit,10,97.59,163,54,Failure,7.8277
97,97,4,4,SQL Injection,4,85.56,195,153,Success,6.7168
98,98,4,5,DDoS,10,64.27,69,173,Success,8.811433333333333
99,99,4,8,Ransomware,1,52.8,253,78,Failure,3.284
100,100,8,1,Cross-Site Scripting,8,97.23,167,147,Success,8.5669
101,101,6,8,Phishing,2,57.29,2,145,Failure,4.935366666666667
102,102,7,5,Zero-Day Exploit,4,55.37,221,54,Failure,4.161099999999999
103,103,2,4,Zero-Day Exploit,4,21.71,156,172,Failure,5.117966666666667
104,104,1,4,Brute Force,2,73.51,274,93,Failure,4.5553
105,105,10,8,Zero-Day Exploit,1,88.43,95,136,Failure,5.319566666666667
106,106,1,7,SQL Injection,4,74.85,60,24,Success,4.2455
107,107,7,8,Brute Force,9,47.76,157,37,Success,5.649466666666666
108,108,10,5,DDoS,2,39.79,175,162,Failure,4.6937
109,109,2,2,Malware,3,35.1,28,13,Failure,2.469666666666667
110,110,1,5,Brute Force,1,92.41,79,100,Failure,4.838966666666666
111,111,5,4,SQL Injection,9,65.78,297,85,Failure,6.990066666666667
112,112,7,8,Zero-Day Exploit,6,69.17,36,82,Success,5.8417666666666666
113,113,4,7,DDoS,1,71.93,124,135,Success,4.8079
114,114,5,8,Cross-Site Scripting,5,18.14,67,69,Success,3.6942
115,115,4,4,Ransomware,4,53.52,280,84,Failure,4.605600000000001
116,116,1,5,Ransomware,8,21.92,227,118,Failure,5.8242666666666665
117,117,5,8,DDoS,9,31.01,240,141,Failure,6.8803
118,118,10,8,Phishing,5,6.78,83,41,Failure,2.886733333333333
119,119,7,4,Cross-Site Scripting,8,64.46,251,143,Success,7.517133333333333
120,120,10,7,Brute Force,8,59.35,33,64,Failure,6.047166666666667
121,121,1,2,Brute Force,1,25.09,170,21,Failure,1.5027000000000001
122,122,8,7,Cross-Site Scripting,3,33.6,186,134,Failure,4.441333333333334
123,123,7,6,Phishing,1,15.18,147,161,Failure,3.538733333333333
124,124,1,6,Zero-Day Exploit,7,99.91,156,127,Failure,7.913966666666667
125,125,7,4,Cross-Site Scripting,6,23.71,57,151,Success,5.6279666666666675
126,126,8,4,SQL Injection,7,72.43,291,3,Failure,5.0229
127,127,10,7,Malware,7,80.9,131,177,Failure,8.177
128,128,9,3,Phishing,9,41.02,241,59,Success,5.813933333333334
129,129,7,1,Cross-Site Scripting,3,99.98,117,146,Success,6.632733333333334
130,130,6,5,Brute Force,8,86.19,77,26,Success,6.219033333333334
131,131,3,1,Malware,5,65.77,70,25,Failure,4.389766666666667
132,132,1,2,SQL Injection,8,44.59,208,164,Failure,7.2710333333333335
133,133,6,3,SQL Injection,1,64.01,285,138,Failure,4.6203
134,134,5,1,Brute Force,3,19.03,196,153,Failure,4.3209
135,135,1,6,Cross-Site Scripting,5,11.07,79,6,Failure,2.4321
136,136,6,1,Zero-Day Exploit,7,70.71,244,40,Failure,5.587966666666667
137,137,1,7,DDoS,3,68.96,211,40,Failure,3.9354666666666667
138,138,3,8,Brute Force,8,91.96,48,91,Failure,7.475466666666667
139,139,5,7,DDoS,3,42.4,114,41,Success,3.1553333333333335
140,140,7,2,Ransomware,10,58.74,79,28,Success,6.228866666666667
141,141,2,7,SQL Injection,5,20.18,156,91,Success,4.122066666666667
142,142,8,8,Zero-Day Exploit,6,68.39,109,17,Failure,4.735033333333334
143,143,2,2,SQL Injection,6,15.34,259,70,Failure,4.026866666666667
144,144,5,4,Brute Force,7,47.35,188,4,Success,4.287166666666667
145,145,10,1,Brute Force,6,29.53,94,86,Failure,4.719233333333333
146,146,9,1,Cross-Site Scripting,9,50.13,128,115,Failure,7.020566666666667
147,147,8,6,Phishing,2,4.7,38,99,Success,2.591
148,148,5,5,Ransomware,3,29.97,17,180,Failure,5.0991
149,149,3,7,Brute Force,2,12.48,64,163,Success,3.8910666666666662
150,150,10,7,Malware,5,42.32,185,116,Success,5.202933333333333
151,151,3,3,Cross-Site Scripting,1,86.06,198,116,Success,4.915133333333333
152,152,9,7,Brute Force,6,67.3,174,143,Failure,6.802333333333333
153,153,6,7,SQL Injection,10,42.67,266,70,Success,6.446766666666667
154,154,4,8,Ransomware,5,86.58,259,119,Failure,6.580733333333334
155,155,1,1,Ransomware,1,64.06,64,100,Failure,3.9884666666666666
156,156,10,4,Brute Force,8,38.64,75,62,Failure,5.392533333333334
157,157,1,4,Ransomware,1,64.2,63,55,Failure,3.2426666666666666
158,158,6,1,Phishing,3,7.61,195,60,Success,2.4283
159,159,8,2,Ransomware,7,64.39,242,27,Success,5.1817
160,160,7,2,Ransomware,9,17.28,141,71,Failure,5.301733333333333
161,161,6,6,SQL Injection,6,19.11,258,101,Failure,4.656633333333334
162,162,7,5,Phishing,5,23.56,122,4,Failure,2.7734666666666667
163,163,6,2,DDoS,8,66.53,178,158,Failure,7.829233333333333
164,164,1,8,Cross-Site Scripting,7,57.76,75,30,Failure,5.0328
165,165,10,7,Phishing,3,65.27,39,123,Failure,5.2081
166,166,10,4,Ransomware,6,93.09,42,173,Success,8.076033333333333
167,167,4,3,DDoS,6,94.33,161,51,Success,6.0799
168,168,9,3,DDoS,1,76.62,72,145,Success,5.115266666666667
169,169,7,8,Cross-Site Scripting,9,6.8,267,64,Success,4.870666666666667
170,170,10,8,Brute Force,6,89.27,68,32,Success,5.611433333333333
171,171,1,4,Zero-Day Exploit,9,97.44,213,70,Failure,7.689866666666667
172,172,3,4,SQL Injection,4,29.47,15,150,Success,4.9841
173,173,5,5,Malware,8,45.13,233,14,Failure,4.787233333333334
174,174,5,3,Zero-Day Exploit,6,16.87,170,89,Success,4.389433333333334
175,175,4,3,Phishing,1,69.43,259,174,Success,5.382899999999999
176,176,6,2,DDoS,2,45.09,285,147,Success,4.6027000000000005
177,177,2,4,Phishing,4,95.46,99,138,Failure,6.7638
178,178,8,2,Ransomware,4,93.05,192,128,Success,6.5248333333333335
179,179,2,1,Ransomware,5,2.66,293,74,Failure,3.313133333333333
180,180,5,3,SQL Injection,10,34.48,249,39,Success,5.6844
181,181,10,6,SQL Injection,7,15.68,57,135,Success,5.5204
182,182,7,6,Cross-Site Scripting,5,50.11,195,77,Success,4.7866333333333335
183,183,6,3,Malware,8,68.93,167,111,Success,7.117900000000001
184,184,5,8,Zero-Day Exploit,1,28.5,210,102,Success,2.9549999999999996
185,185,2,2,Brute Force,2,9.72,232,148,Success,3.5582666666666665
186,186,7,4,Phishing,4,19.28,1,179,Failure,5.161733333333333
187,187,8,6,Brute Force,7,21.76,211,175,Failure,6.369466666666667
188,188,10,4,Brute Force,2,21.67,33,118,Failure,3.4167666666666667
189,189,5,4,Phishing,7,69.7,218,104,Success,6.6243333333333325
190,190,4,8,Malware,9,6.26,88,37,Success,4.404466666666667
191,191,1,8,Ransomware,4,49.11,8,65,Failure,4.156633333333333
192,192,3,4,Phishing,6,12.28,92,35,Success,3.3517333333333337
193,193,1,1,Cross-Site Scripting,10,4.41,59,22,Failure,4.498966666666666
194,194,5,6,Malware,3,51.49,196,26,Success,3.178033333333333
195,195,3,2,SQL Injection,4,95.85,236,51,Success,5.3255
196,196,3,4,Cross-Site Scripting,1,32.54,108,104,Success,3.109533333333333
197,197,5,5,SQL Injection,1,64.45,121,124,Failure,4.400166666666667
198,198,6,4,Zero-Day Exploit,6,31.44,176,95,Success,4.926533333333333
199,199,5,6,Ransomware,10,49.47,7,140,Failure,7.817433333333333
200,200,3,3,Ransomware,1,59.11,195,7,Success,2.2899666666666665
201,201,3,8,Phishing,1,57.13,125,102,Success,3.8139
202,202,7,8,Cross-Site Scripting,10,95.27,109,49,Failure,7.674766666666667
203,203,7,6,Brute Force,9,62.59,146,46,Failure,6.244366666666667
204,204,2,6,Zero-Day Exploit,9,53.82,165,118,Failure,7.181266666666667
205,205,8,4,Cross-Site Scripting,3,41.1,179,135,Failure,4.683
206,206,4,8,Zero-Day Exploit,6,53.65,162,44,Failure,4.7428333333333335
207,207,1,2,SQL Injection,2,73.32,43,166,Success,5.766266666666667
208,208,7,1,Malware,1,92.19,46,154,Success,5.732366666666666
209,209,5,1,Zero-Day Exploit,1,73.76,28,161,Failure,5.296133333333334
210,210,5,4,SQL Injection,4,40.56,157,119,Success,4.800133333333333
211,211,4,6,Brute Force,6,56.83,38,22,Failure,4.471566666666667
212,212,7,6,Cross-Site Scripting,2,71.41,122,104,Success,4.675633333333334
213,213,1,8,DDoS,9,58.09,190,140,Success,7.676033333333334
214,214,8,3,DDoS,1,1.95,81,3,Success,0.5085000000000001
215,215,1,7,DDoS,6,10.95,157,14,Success,2.9618333333333338
216,216,8,7,SQL Injection,1,74.13,236,138,Success,4.9239
217,217,9,3,DDoS,9,30.86,43,64,Failure,5.592466666666667
218,218,1,8,Brute Force,1,14.15,239,110,Failure,2.6578333333333335
219,219,1,8,Ransomware,9,75.88,183,49,Failure,6.693066666666667
220,220,9,3,Ransomware,7,32.63,7,39,Failure,4.4289000000000005
221,221,10,3,Zero-Day Exploit,1,32.2,128,175,Success,4.282666666666667
222,222,2,5,Phishing,9,13.51,205,107,Failure,5.788633333333333
223,223,1,6,Malware,6,89.69,56,110,Success,6.924033333333334
224,224,2,1,Brute Force,6,27.54,91,81,Success,4.5762
225,225,10,7,DDoS,10,69.69,158,59,Success,7.074033333333333
226,226,8,1,DDoS,10,65.84,9,161,Failure,8.658533333333333
227,227,6,5,SQL Injection,8,31.22,141,104,Success,5.869933333333332
228,228,10,6,Brute Force,3,73.16,116,91,Success,4.911466666666666
229,229,10,1,Zero-Day Exploit,7,67.83,291,64,Failure,5.901566666666667
230,230,2,2,Ransomware,5,43.28,39,92,Success,4.831733333333333
231,231,7,8,Cross-Site Scripting,3,13.04,256,52,Success,2.457866666666667
232,232,10,1,SQL Injection,8,62.98,267,24,Failure,5.4894
233,233,9,2,SQL Injection,4,8.18,207,2,Failure,1.8787333333333336
234,234,10,1,Brute Force,6,12.14,208,132,Failure,4.9642
235,235,8,8,Cross-Site Scripting,2,14.08,192,90,Failure,2.7224000000000004
236,236,4,2,Phishing,5,9.04,86,127,Success,4.387866666666667
237,237,8,1,Malware,10,67.04,55,62,Failure,7.044533333333334
238,238,2,6,SQL Injection,4,11.5,163,153,Failure,4.495
239,239,10,2,Brute Force,9,41.54,148,177,Failure,7.796199999999999
240,240,1,7,Cross-Site Scripting,7,70.21,232,5,Success,4.989633333333333
241,241,2,7,Phishing,6,36.16,247,126,Failure,5.5847999999999995
242,242,2,5,Phishing,9,65.38,222,67,Failure,6.678066666666666
243,243,6,3,Malware,4,89.46,50,160,Success,6.9504666666666655
244,244,4,4,Cross-Site Scripting,2,85.68,30,135,Success,5.6204
245,245,9,4,Ransomware,10,39.28,254,173,Failure,8.061733333333333
246,246,9,4,Brute Force,5,73.26,173,53,Failure,5.081133333333334
247,247,10,5,Cross-Site Scripting,6,31.72,217,95,Failure,4.934933333333333
248,248,1,4,Cross-Site Scripting,10,23.43,70,48,Success,5.5028999999999995
249,249,5,8,SQL Injection,8,97.21,35,115,Success,8.032966666666667
250,250,6,3,Zero-Day Exploit,9,35.45,243,151,Failure,7.180166666666667
251,251,1,2,DDoS,5,70.92,239,42,Success,4.8276
252,252,4,7,Cross-Site Scripting,5,55.16,241,9,Failure,3.8047999999999997
253,253,9,3,SQL Injection,1,2.17,147,135,Success,2.7151
254,254,2,4,Cross-Site Scripting,1,68.83,157,1,Success,2.4815666666666663
255,255,8,6,Brute Force,7,11.32,239,100,Failure,4.806266666666667
256,256,6,3,Brute Force,7,70.08,3,93,Failure,6.4524
257,257,9,1,Ransomware,5,44.36,111,64,Failure,4.397466666666666
258,258,10,7,Zero-Day Exploit,8,50.42,41,124,Success,6.7792666666666666
259,259,8,8,Cross-Site Scripting,1,14.74,8,40,Failure,1.5088666666666666
260,260,2,4,Brute Force,6,89.09,269,9,Success,5.2227000000000015
261,261,5,2,Malware,3,76.85,99,176,Success,6.438833333333333
262,262,5,2,Brute Force,5,36.79,130,88,Failure,4.570366666666667
263,263,5,1,Phishing,3,80.63,29,115,Success,5.535566666666666
264,264,1,2,Phishing,5,77.88,300,163,Failure,7.053066666666666
265,265,9,1,Zero-Day Exploit,3,61.22,180,161,Success,5.7199333333333335
266,266,7,2,Malware,8,21.31,138,58,Success,4.8059666666666665
267,267,2,2,Phishing,10,28.68,58,175,Success,7.777066666666666
268,268,9,7,Cross-Site Scripting,6,21.59,141,101,Success,4.731033333333333
269,269,10,1,Phishing,6,81.61,107,80,Success,6.181633333333333
270,270,2,6,Ransomware,1,30.46,188,116,Failure,3.247133333333333
271,271,9,6,Cross-Site Scripting,4,76.84,68,87,Failure,5.3552
272,272,10,6,Zero-Day Exploit,2,36.5,239,44,Failure,2.6283333333333334
273,273,1,1,Phishing,9,99.84,284,101,Failure,8.278533333333334
274,274,7,6,Ransomware,3,90.11,113,34,Failure,4.469966666666666
275,275,7,8,SQL Injection,10,35.72,159,46,Failure,5.838266666666667
276,276,5,7,Phishing,9,86.46,196,82,Failure,7.560466666666666
277,277,5,4,Cross-Site Scripting,2,96.34,110,42,Success,4.3902
278,278,5,7,SQL Injection,9,93.25,290,153,Failure,8.9475
279,279,5,8,Zero-Day Exploit,4,62.75,30,108,Success,5.2825
280,280,8,1,Malware,8,19.9,264,72,Success,4.997
281,281,3,3,SQL Injection,4,66.61,162,32,Success,4.131633333333333
282,282,10,4,Phishing,4,10.64,192,68,Success,3.0525333333333333
283,283,4,8,Ransomware,6,68.21,63,21,Success,4.7963000000000005
284,284,6,4,SQL Injection,6,2.46,229,70,Success,3.6404666666666667
285,285,5,7,Ransomware,4,47.36,122,101,Success,4.704133333333333
286,286,9,6,Zero-Day Exploit,8,84.38,65,68,Success,6.864733333333334
287,287,9,5,Cross-Site Scripting,3,53.71,31,40,Failure,3.4779666666666667
288,288,5,8,Brute Force,6,80.8,68,158,Success,7.457333333333333
289,289,9,4,Zero-Day Exploit,6,32.92,39,42,Failure,4.0876
290,290,3,8,Malware,6,83.0,239,153,Success,7.44
291,291,8,4,Cross-Site Scripting,1,0.09,145,52,Success,1.2693666666666665
292,292,1,8,Zero-Day Exploit,10,38.74,4,131,Success,7.345533333333334
293,293,6,7,Malware,5,21.13,99,131,Failure,4.817233333333333
294,294,9,1,Phishing,8,71.68,212,180,Success,8.3504
295,295,10,4,Brute Force,5,46.03,77,180,Success,6.3809
296,296,8,5,SQL Injection,5,14.86,152,98,Success,4.079133333333333
297,297,5,7,Ransomware,6,78.48,44,89,Success,6.237733333333334
298,298,2,5,DDoS,6,64.49,61,25,Failure,4.751366666666667
299,299,5,6,SQL Injection,9,36.74,285,166,Success,7.468866666666667
300,300,10,2,Zero-Day Exploit,7,52.22,56,37,Failure,4.983266666666666
301,301,10,5,Phishing,1,26.24,94,93,Failure,2.7371999999999996
302,302,2,1,Malware,9,52.52,167,117,Success,7.1256
303,303,2,1,Phishing,2,8.41,65,162,Failure,3.7523
304,304,9,4,Zero-Day Exploit,6,45.5,196,32,Success,4.298333333333334
305,305,6,8,SQL Injection,6,32.69,288,119,Success,5.364033333333333
306,306,9,2,Brute Force,8,95.26,223,2,Success,6.0911333333333335
307,307,2,7,DDoS,6,16.42,243,19,Failure,3.209266666666667
308,308,6,6,Brute Force,8,57.06,234,85,Failure,6.3284666666666665
309,309,7,6,Brute Force,1,97.37,197,178,Success,6.287766666666666
310,310,7,4,Zero-Day Exploit,8,11.72,289,111,Success,5.4016
311,311,8,6,SQL Injection,5,19.26,197,105,Failure,4.3278
312,312,8,1,SQL Injection,1,44.09,183,114,Success,3.6227
313,313,4,7,SQL Injection,4,29.3,292,177,Success,5.429
314,314,6,4,Cross-Site Scripting,2,79.4,295,163,Failure,5.898666666666667
315,315,10,5,Brute Force,5,94.45,154,174,Success,7.733499999999999
316,316,1,7,Zero-Day Exploit,5,71.15,7,33,Failure,4.6845
317,317,10,6,Cross-Site Scripting,7,1.04,84,139,Failure,5.147866666666667
318,318,3,2,DDoS,9,56.63,148,98,Failure,6.932233333333333
319,319,10,8,Phishing,6,23.67,203,13,Failure,3.326766666666667
320,320,2,7,Malware,3,25.53,184,58,Success,2.932566666666667
321,321,8,1,Brute Force,10,38.32,156,130,Success,7.316266666666666
322,322,1,5,Zero-Day Exploit,9,10.73,253,145,Failure,6.338566666666667
323,323,2,3,Zero-Day Exploit,6,38.02,186,27,Success,3.9906000000000006
324,324,7,8,Brute Force,2,36.82,45,141,Success,4.2546
325,325,4,3,Phishing,5,3.28,17,3,Failure,2.1483999999999996
326,326,1,3,SQL Injection,2,17.99,194,100,Success,3.0063666666666666
327,327,2,3,Brute Force,1,9.21,78,11,Success,0.8596333333333335
328,328,10,2,SQL Injection,1,69.28,275,26,Success,2.911733333333333
329,329,7,2,Phishing,2,9.48,120,114,Failure,2.9844
330,330,9,7,Ransomware,7,70.6,235,152,Success,7.451333333333333
331,331,6,8,Cross-Site Scripting,4,11.99,222,124,Success,4.026366666666667
332,332,9,5,Brute Force,3,8.43,94,61,Success,2.469566666666667
333,333,5,8,Cross-Site Scripting,9,97.2,96,179,Success,9.499333333333333
334,334,9,2,Brute Force,4,59.23,23,51,Success,4.2269
335,335,10,7,SQL Injection,5,30.75,88,177,Failure,5.8725
336,336,1,7,Zero-Day Exploit,2,86.4,225,123,Failure,5.442
337,337,2,4,Malware,8,5.95,229,15,Success,3.6285000000000003
338,338,3,2,Cross-Site Scripting,7,71.34,14,107,Success,6.723533333333334
339,339,6,7,SQL Injection,4,14.05,279,169,Success,4.838166666666667
340,340,3,7,DDoS,5,49.98,247,38,Failure,4.1327333333333325
341,341,2,4,Cross-Site Scripting,2,77.14,149,36,Failure,3.7141999999999995
342,342,7,4,Cross-Site Scripting,3,28.74,271,40,Success,2.7288666666666663
343,343,5,6,Zero-Day Exploit,9,62.82,14,43,Success,6.201266666666667
344,344,7,8,Zero-Day Exploit,10,47.17,109,114,Failure,7.315099999999999
345,345,9,8,Malware,1,13.89,35,55,Failure,1.7333666666666667
346,346,8,1,Phishing,7,47.48,209,40,Success,4.891066666666667
347,347,1,6,Phishing,4,44.65,80,84,Success,4.3395
348,348,3,7,SQL Injection,9,54.95,255,84,Success,6.6485
349,349,9,5,Brute Force,4,2.61,81,63,Success,2.7283
350,350,2,8,DDoS,9,9.37,268,31,Success,4.397766666666667
351,351,3,3,Brute Force,1,55.6,32,160,Failure,4.734666666666667
352,352,4,3,Zero-Day Exploit,10,67.68,103,79,Failure,7.347066666666667
353,353,8,8,Ransomware,5,79.83,39,71,Success,5.578233333333333
354,354,10,8,DDoS,6,78.31,232,4,Failure,4.815966666666666
355,355,1,4,DDoS,6,29.14,193,45,Failure,4.0242
356,356,5,4,Brute Force,4,91.3,131,114,Success,6.238999999999999
357,357,6,7,DDoS,4,3.88,115,91,Failure,3.2330666666666668
358,358,3,6,Brute Force,8,1.05,180,59,Success,4.214833333333333
359,359,1,7,SQL Injection,6,23.06,250,78,Success,4.3918
360,360,6,4,Zero-Day Exploit,3,1.94,178,134,Failure,3.491533333333334
361,361,8,3,Malware,6,52.05,82,8,Failure,4.094833333333334
362,362,10,6,Malware,3,88.66,218,49,Success,4.676466666666666
363,363,3,1,Malware,5,33.8,91,144,Failure,5.414
364,364,1,3,Brute Force,7,55.51,297,68,Failure,5.598633333333334
365,365,3,7,Malware,2,89.19,296,6,Failure,3.5757
366,366,2,2,SQL Injection,10,86.88,253,9,Failure,6.756399999999999
367,367,3,7,SQL Injection,4,62.52,248,103,Failure,5.192266666666667
368,368,7,7,Malware,7,9.25,266,54,Failure,3.9775
369,369,5,6,Zero-Day Exploit,2,86.85,268,112,Success,5.272166666666667
370,370,9,8,Malware,6,70.85,300,125,Failure,6.608833333333333
371,371,10,7,DDoS,2,32.79,136,48,Success,2.5837
372,372,9,7,Phishing,7,30.07,42,57,Success,4.6521
373,373,7,3,Brute Force,1,2.03,167,37,Success,1.0775666666666666
374,374,1,2,DDoS,2,78.17,196,12,Success,3.3451000000000004
375,375,2,2,Phishing,10,53.69,166,125,Failure,7.6940333333333335
376,376,9,5,Zero-Day Exploit,5,81.83,12,131,Failure,6.638233333333334
377,377,3,6,SQL Injection,3,28.05,198,57,Success,2.9915000000000003
378,378,10,4,Brute Force,4,34.91,124,43,Failure,3.3639666666666668
379,379,8,6,Brute Force,8,88.65,147,13,Success,6.076166666666667
380,380,3,3,Brute Force,9,36.48,191,155,Failure,7.277733333333333
381,381,2,6,Phishing,3,46.51,245,160,Success,5.261966666666666
382,382,1,7,DDoS,7,95.12,10,22,Success,6.020266666666667
383,383,6,2,Malware,5,98.21,53,110,Failure,6.779633333333333
384,384,3,1,DDoS,9,81.47,281,13,Failure,6.260766666666667
385,385,9,6,SQL Injection,5,95.37,121,4,Success,4.927766666666666
