time_key,timestamp,hour,day,month,quarter,year
48,2023-11-19 15:33:44.083697,15,Sunday,November,4,2023
49,2023-11-28 13:42:36.083701,13,Tuesday,November,4,2023
50,2023-12-05 19:36:05.083704,19,Tuesday,December,4,2023
51,2024-04-12 04:04:20.083709,4,Friday,April,2,2024
52,2024-07-09 14:23:32.083714,14,Tuesday,July,3,2024
53,2024-08-07 11:02:39.083720,11,Wednesday,August,3,2024
54,2024-04-24 01:33:20.083726,1,Wednesday,April,2,2024
55,2023-12-20 05:23:01.083734,5,Wednesday,December,4,2023
56,2023-10-31 09:08:24.083739,9,Tuesday,October,4,2023
57,2024-01-26 23:37:48.083745,23,Friday,January,1,2024
58,2023-09-23 17:07:58.083751,17,Saturday,September,3,2023
59,2024-06-30 15:21:29.083756,15,Sunday,June,2,2024
60,2024-02-04 14:31:36.083762,14,Sunday,February,1,2024
61,2024-07-23 05:25:50.083767,5,Tuesday,July,3,2024
62,2024-06-15 02:09:20.083772,2,Saturday,June,2,2024
63,2024-04-03 22:28:23.083778,22,Wednesday,April,2,2024
64,2024-03-28 17:29:41.083784,17,Thursday,March,1,2024
65,2024-02-19 09:43:14.083790,9,Monday,February,1,2024
66,2024-03-21 09:11:42.083796,9,Thursday,March,1,2024
67,2024-05-23 21:14:44.083906,21,Thursday,May,2,2024
68,2024-04-28 14:54:32.083919,14,Sunday,April,2,2024
69,2024-07-19 16:45:23.083925,16,Friday,July,3,2024
70,2023-11-23 18:04:58.083931,18,Thursday,November,4,2023
71,2024-08-03 16:34:12.083936,16,Saturday,August,3,2024
72,2024-04-24 18:35:38.083941,18,Wednesday,April,2,2024
73,2024-08-21 10:46:34.083946,10,Wednesday,August,3,2024
74,2024-07-11 21:49:18.083951,21,Thursday,July,3,2024
75,2023-11-12 02:55:31.083956,2,Sunday,November,4,2023
76,2024-08-07 04:42:21.083962,4,Wednesday,August,3,2024
77,2024-01-26 22:18:50.083968,22,Friday,January,1,2024
78,2024-07-21 12:43:55.083976,12,Sunday,July,3,2024
79,2024-04-02 11:00:01.083981,11,Tuesday,April,2,2024
80,2024-03-06 18:52:42.083986,18,Wednesday,March,1,2024
81,2023-12-13 18:09:04.083992,18,Wednesday,December,4,2023
82,2023-09-15 14:33:39.083998,14,Friday,September,3,2023
83,2024-03-25 02:24:15.084003,2,Monday,March,1,2024
84,2023-09-23 04:26:21.084009,4,Saturday,September,3,2023
85,2023-12-17 20:54:34.084014,20,Sunday,December,4,2023
86,2024-08-28 09:15:33.084019,9,Wednesday,August,3,2024
87,2023-12-10 14:38:39.084024,14,Sunday,December,4,2023
88,2024-01-03 12:21:49.084030,12,Wednesday,January,1,2024
89,2023-12-20 18:15:56.084035,18,Wednesday,December,4,2023
90,2024-01-08 17:47:58.084042,17,Monday,January,1,2024
91,2024-07-17 06:20:36.084047,6,Wednesday,July,3,2024
92,2023-11-25 05:16:57.084052,5,Saturday,November,4,2023
93,2024-02-14 02:08:01.084058,2,Wednesday,February,1,2024
94,2024-04-18 05:56:10.084065,5,Thursday,April,2,2024
95,2024-03-07 20:22:06.084071,20,Thursday,March,1,2024
96,2023-10-23 07:41:18.084077,7,Monday,October,4,2023
97,2024-02-10 15:27:18.084083,15,Saturday,February,1,2024
98,2024-07-09 15:10:06.084088,15,Tuesday,July,3,2024
99,2023-11-17 01:49:33.084093,1,Friday,November,4,2023
100,2024-03-12 19:06:43.084099,19,Tuesday,March,1,2024
101,2024-07-13 14:25:50.084105,14,Saturday,July,3,2024
102,2023-10-22 16:14:40.084109,16,Sunday,October,4,2023
103,2024-05-23 04:53:50.084112,4,Thursday,May,2,2024
104,2023-12-27 02:29:24.084115,2,Wednesday,December,4,2023
105,2024-03-25 14:50:38.084119,14,Monday,March,1,2024
106,2023-12-30 07:46:09.084124,7,Saturday,December,4,2023
107,2024-06-16 12:23:26.084129,12,Sunday,June,2,2024
108,2024-01-06 22:15:12.084134,22,Saturday,January,1,2024
109,2024-06-03 02:26:56.084140,2,Monday,June,2,2024
110,2023-10-22 21:55:14.084146,21,Sunday,October,4,2023
111,2024-02-29 10:48:03.084152,10,Thursday,February,1,2024
112,2024-01-29 12:10:09.084157,12,Monday,January,1,2024
113,2024-02-25 00:05:58.084162,0,Sunday,February,1,2024
114,2023-11-29 22:52:32.084168,22,Wednesday,November,4,2023
115,2023-12-18 01:38:28.084173,1,Monday,December,4,2023
116,2024-06-05 22:41:51.084176,22,Wednesday,June,2,2024
117,2024-03-10 04:42:17.084179,4,Sunday,March,1,2024
118,2024-07-18 20:03:39.084182,20,Thursday,July,3,2024
119,2024-07-15 23:57:32.084185,23,Monday,July,3,2024
120,2023-09-16 20:00:25.084188,20,Saturday,September,3,2023
121,2024-08-04 07:10:00.084191,7,Sunday,August,3,2024
122,2024-06-07 04:12:10.084194,4,Friday,June,2,2024
123,2023-09-24 08:36:16.084197,8,Sunday,September,3,2023
124,2024-07-06 07:48:21.084200,7,Saturday,July,3,2024
125,2024-07-15 16:16:17.084203,16,Monday,July,3,2024
126,2024-07-23 04:23:02.084206,4,Tuesday,July,3,2024
127,2023-09-07 21:13:27.084209,21,Thursday,September,3,2023
128,2024-01-05 00:00:40.084212,0,Friday,January,1,2024
129,2024-01-16 10:46:54.084215,10,Tuesday,January,1,2024
130,2024-06-05 15:10:49.084220,15,Wednesday,June,2,2024
131,2023-09-12 08:04:33.084223,8,Tuesday,September,3,2023
132,2024-06-29 15:02:12.084226,15,Saturday,June,2,2024
133,2024-02-26 17:37:16.084229,17,Monday,February,1,2024
134,2024-06-22 16:43:47.084232,16,Saturday,June,2,2024
135,2024-07-02 15:16:59.084235,15,Tuesday,July,3,2024
136,2024-07-27 10:56:05.084238,10,Saturday,July,3,2024
137,2023-11-29 02:23:45.084241,2,Wednesday,November,4,2023
138,2024-07-26 14:27:28.084244,14,Friday,July,3,2024
139,2024-05-29 15:28:08.084248,15,Wednesday,May,2,2024
140,2023-09-30 00:19:31.084251,0,Saturday,September,3,2023
141,2024-02-23 16:50:23.084254,16,Friday,February,1,2024
142,2023-11-03 23:42:05.084257,23,Friday,November,4,2023
143,2024-06-27 09:12:56.084260,9,Thursday,June,2,2024
144,2024-03-01 21:37:53.084263,21,Friday,March,1,2024
145,2023-12-01 03:28:55.084266,3,Friday,December,4,2023
146,2024-01-03 14:25:30.084269,14,Wednesday,January,1,2024
147,2024-04-16 02:54:13.084273,2,Tuesday,April,2,2024
148,2024-07-29 08:37:37.084276,8,Monday,July,3,2024
149,2024-01-11 18:49:47.084279,18,Thursday,January,1,2024
150,2024-08-02 12:41:43.084283,12,Friday,August,3,2024
151,2024-06-24 03:10:29.084286,3,Monday,June,2,2024
152,2023-09-14 08:08:29.084289,8,Thursday,September,3,2023
153,2024-04-04 11:22:38.084292,11,Thursday,April,2,2024
154,2024-01-22 17:14:01.084295,17,Monday,January,1,2024
155,2023-09-18 04:37:03.084298,4,Monday,September,3,2023
156,2024-07-14 03:22:46.084301,3,Sunday,July,3,2024
157,2023-09-25 18:20:10.084304,18,Monday,September,3,2023
158,2024-06-05 10:49:00.084307,10,Wednesday,June,2,2024
159,2024-08-16 15:12:35.084310,15,Friday,August,3,2024
160,2023-10-20 22:17:51.084313,22,Friday,October,4,2023
161,2023-10-27 10:42:14.084316,10,Friday,October,4,2023
162,2024-05-15 18:02:29.084319,18,Wednesday,May,2,2024
163,2024-07-28 18:49:05.084322,18,Sunday,July,3,2024
164,2023-09-24 14:33:47.084325,14,Sunday,September,3,2023
165,2024-08-23 11:13:48.084327,11,Friday,August,3,2024
166,2024-07-16 17:21:54.084330,17,Tuesday,July,3,2024
167,2023-12-21 05:57:57.084333,5,Thursday,December,4,2023
168,2024-03-12 14:01:23.084336,14,Tuesday,March,1,2024
169,2024-02-19 17:33:44.084339,17,Monday,February,1,2024
170,2023-11-30 21:31:22.084342,21,Thursday,November,4,2023
171,2024-04-06 00:29:05.084345,0,Saturday,April,2,2024
172,2024-03-18 08:10:48.084348,8,Monday,March,1,2024
173,2024-07-30 00:59:12.084351,0,Tuesday,July,3,2024
174,2024-08-18 23:48:55.084355,23,Sunday,August,3,2024
175,2024-05-14 23:08:39.084358,23,Tuesday,May,2,2024
176,2024-03-10 05:05:48.084361,5,Sunday,March,1,2024
177,2024-09-01 17:54:48.084364,17,Sunday,September,3,2024
178,2023-09-09 17:00:06.084367,17,Saturday,September,3,2023
179,2023-11-02 03:12:55.084370,3,Thursday,November,4,2023
180,2024-07-31 00:27:00.084373,0,Wednesday,July,3,2024
181,2023-12-19 04:01:31.084376,4,Tuesday,December,4,2023
182,2023-09-19 15:14:16.084379,15,Tuesday,September,3,2023
183,2024-05-29 07:33:59.084382,7,Wednesday,May,2,2024
184,2023-11-04 04:16:55.084385,4,Saturday,November,4,2023
185,2024-01-10 23:36:08.084388,23,Wednesday,January,1,2024
186,2024-07-10 03:24:15.084391,3,Wednesday,July,3,2024
187,2023-10-10 07:22:41.084394,7,Tuesday,October,4,2023
188,2024-01-05 12:12:02.084397,12,Friday,January,1,2024
189,2024-05-04 15:37:13.084400,15,Saturday,May,2,2024
190,2023-12-31 23:02:26.084403,23,Sunday,December,4,2023
191,2024-05-08 14:37:46.084406,14,Wednesday,May,2,2024
192,2024-04-04 00:21:54.084409,0,Thursday,April,2,2024
193,2024-06-23 13:40:23.084412,13,Sunday,June,2,2024
194,2024-05-18 14:15:07.084415,14,Saturday,May,2,2024
195,2024-01-21 22:59:32.084418,22,Sunday,January,1,2024
196,2024-01-12 05:29:09.084421,5,Friday,January,1,2024
197,2023-10-15 19:54:41.084424,19,Sunday,October,4,2023
198,2023-10-10 10:08:08.084427,10,Tuesday,October,4,2023
199,2023-10-29 09:11:18.084430,9,Sunday,October,4,2023
200,2024-04-16 09:16:18.084433,9,Tuesday,April,2,2024
201,2023-12-19 23:02:53.084436,23,Tuesday,December,4,2023
202,2024-02-20 04:54:14.084441,4,Tuesday,February,1,2024
203,2024-03-24 13:32:33.084444,13,Sunday,March,1,2024
204,2024-08-11 14:40:28.084447,14,Sunday,August,3,2024
205,2024-07-30 08:59:52.084450,8,Tuesday,July,3,2024
206,2023-12-02 23:19:18.084453,23,Saturday,December,4,2023
207,2024-01-07 08:42:42.084455,8,Sunday,January,1,2024
208,2024-08-24 01:17:17.084458,1,Saturday,August,3,2024
209,2024-07-20 08:58:43.084461,8,Saturday,July,3,2024
210,2023-10-08 10:40:31.084464,10,Sunday,October,4,2023
211,2023-09-27 20:26:45.084467,20,Wednesday,September,3,2023
212,2024-06-19 05:30:01.084470,5,Wednesday,June,2,2024
213,2023-11-25 02:34:06.084473,2,Saturday,November,4,2023
214,2024-03-01 16:10:57.084476,16,Friday,March,1,2024
215,2024-03-16 01:04:25.084479,1,Saturday,March,1,2024
216,2024-07-25 02:22:43.084482,2,Thursday,July,3,2024
217,2023-12-14 19:00:24.084485,19,Thursday,December,4,2023
218,2023-12-24 09:33:47.084488,9,Sunday,December,4,2023
219,2024-06-01 21:30:16.084491,21,Saturday,June,2,2024
220,2024-04-04 05:39:12.084494,5,Thursday,April,2,2024
221,2024-08-01 18:31:23.084499,18,Thursday,August,3,2024
222,2023-10-01 13:00:17.084504,13,Sunday,October,4,2023
223,2023-11-10 13:48:09.084510,13,Friday,November,4,2023
224,2024-05-10 06:18:02.084515,6,Friday,May,2,2024
225,2024-06-18 08:42:10.084520,8,Tuesday,June,2,2024
226,2023-10-05 09:05:37.084525,9,Thursday,October,4,2023
227,2023-10-27 21:56:25.084530,21,Friday,October,4,2023
228,2023-12-18 13:21:24.084535,13,Monday,December,4,2023
229,2024-06-30 16:28:58.084541,16,Sunday,June,2,2024
230,2024-04-20 05:53:15.084546,5,Saturday,April,2,2024
231,2024-01-27 13:08:41.084550,13,Saturday,January,1,2024
232,2023-11-10 06:49:21.084553,6,Friday,November,4,2023
233,2024-04-02 08:12:07.084556,8,Tuesday,April,2,2024
234,2024-05-27 07:51:16.084561,7,Monday,May,2,2024
235,2023-09-17 21:30:02.084564,21,Sunday,September,3,2023
236,2024-05-27 06:14:28.084569,6,Monday,May,2,2024
237,2024-08-22 17:38:28.084575,17,Thursday,August,3,2024
238,2024-07-11 02:29:48.084580,2,Thursday,July,3,2024
239,2024-02-15 12:04:53.084586,12,Thursday,February,1,2024
240,2024-07-26 04:11:53.084591,4,Friday,July,3,2024
241,2024-04-20 19:40:33.084597,19,Saturday,April,2,2024
242,2024-05-13 02:42:25.084601,2,Monday,May,2,2024
243,2024-09-02 02:33:39.084603,2,Monday,September,3,2024
244,2024-09-03 17:19:59.084606,17,Tuesday,September,3,2024
245,2023-10-10 04:27:17.084609,4,Tuesday,October,4,2023
246,2023-10-08 23:51:46.084613,23,Sunday,October,4,2023
247,2023-11-29 10:51:38.084617,10,Wednesday,November,4,2023
248,2023-09-13 04:18:44.084621,4,Wednesday,September,3,2023
249,2023-12-11 23:30:54.084624,23,Monday,December,4,2023
250,2023-12-14 17:12:27.084627,17,Thursday,December,4,2023
251,2024-02-24 13:35:31.084630,13,Saturday,February,1,2024
252,2024-05-27 04:59:31.084633,4,Monday,May,2,2024
253,2024-06-18 02:05:19.084636,2,Tuesday,June,2,2024
254,2023-09-07 17:17:57.084638,17,Thursday,September,3,2023
255,2023-10-22 20:03:22.084642,20,Sunday,October,4,2023
256,2024-06-14 07:44:06.084645,7,Friday,June,2,2024
257,2023-09-25 19:41:45.084648,19,Monday,September,3,2023
258,2024-06-12 10:06:00.084651,10,Wednesday,June,2,2024
259,2024-06-25 23:33:41.084655,23,Tuesday,June,2,2024
260,2024-04-06 11:37:01.084658,11,Saturday,April,2,2024
261,2023-11-30 10:24:17.084661,10,Thursday,November,4,2023
262,2024-04-16 15:22:56.084664,15,Tuesday,April,2,2024
263,2023-12-20 19:16:56.084667,19,Wednesday,December,4,2023
264,2024-06-12 16:39:22.084670,16,Wednesday,June,2,2024
265,2023-09-21 15:18:00.084673,15,Thursday,September,3,2023
266,2023-09-10 08:44:54.084677,8,Sunday,September,3,2023
267,2024-03-13 17:44:21.084680,17,Wednesday,March,1,2024
268,2024-07-17 14:13:47.084683,14,Wednesday,July,3,2024
269,2023-10-01 08:57:12.084686,8,Sunday,October,4,2023
270,2024-01-14 13:05:04.084690,13,Sunday,January,1,2024
271,2024-05-02 11:19:32.084693,11,Thursday,May,2,2024
272,2023-10-10 05:27:37.084696,5,Tuesday,October,4,2023
273,2024-03-19 02:41:17.084699,2,Tuesday,March,1,2024
274,2024-04-29 15:03:48.084702,15,Monday,April,2,2024
275,2023-12-20 14:41:53.084705,14,Wednesday,December,4,2023
276,2024-03-07 20:55:32.084708,20,Thursday,March,1,2024
277,2023-10-06 02:47:27.084711,2,Friday,October,4,2023
278,2024-01-15 01:01:18.084714,1,Monday,January,1,2024
279,2023-12-10 16:07:49.084717,16,Sunday,December,4,2023
280,2024-08-13 06:31:14.084720,6,Tuesday,August,3,2024
281,2024-05-21 03:40:50.084723,3,Tuesday,May,2,2024
282,2023-11-30 03:42:48.084726,3,Thursday,November,4,2023
283,2024-05-30 23:19:31.084729,23,Thursday,May,2,2024
284,2024-07-31 05:53:10.084732,5,Wednesday,July,3,2024
285,2024-04-30 11:53:30.084735,11,Tuesday,April,2,2024
286,2024-05-18 05:26:09.084738,5,Saturday,May,2,2024
287,2024-03-28 03:38:01.084741,3,Thursday,March,1,2024
288,2024-01-24 01:46:21.084744,1,Wednesday,January,1,2024
289,2024-06-17 22:55:58.084746,22,Monday,June,2,2024
290,2023-12-06 18:16:07.084749,18,Wednesday,December,4,2023
291,2023-11-19 14:53:59.084752,14,Sunday,November,4,2023
292,2023-10-26 00:29:04.084755,0,Thursday,October,4,2023
293,2024-08-16 11:20:01.084758,11,Friday,August,3,2024
294,2024-01-15 05:12:59.084761,5,Monday,January,1,2024
295,2023-11-28 13:19:38.084764,13,Tuesday,November,4,2023
296,2024-08-31 19:46:57.084767,19,Saturday,August,3,2024
297,2023-12-16 11:44:30.084770,11,Saturday,December,4,2023
298,2024-07-21 05:21:46.084773,5,Sunday,July,3,2024
299,2023-12-25 00:11:30.084776,0,Monday,December,4,2023
300,2023-12-16 15:33:56.084779,15,Saturday,December,4,2023
301,2024-08-02 05:43:33.084782,5,Friday,August,3,2024
302,2024-02-04 14:13:14.084785,14,Sunday,February,1,2024
303,2024-05-19 14:58:06.084788,14,Sunday,May,2,2024
304,2024-03-30 20:38:05.084791,20,Saturday,March,1,2024
305,2024-06-17 06:55:21.084794,6,Monday,June,2,2024
306,2024-02-06 03:48:55.084798,3,Tuesday,February,1,2024
307,2024-04-22 08:48:53.084803,8,Monday,April,2,2024
308,2023-09-24 16:12:29.084808,16,Sunday,September,3,2023
309,2024-08-27 04:11:13.084813,4,Tuesday,August,3,2024
310,2024-02-26 13:44:20.084820,13,Monday,February,1,2024
311,2024-01-02 20:48:58.084825,20,Tuesday,January,1,2024
312,2024-05-25 01:45:50.084830,1,Saturday,May,2,2024
313,2024-05-05 11:20:32.084836,11,Sunday,May,2,2024
314,2024-08-25 09:43:48.084841,9,Sunday,August,3,2024
315,2023-12-11 09:26:24.084847,9,Monday,December,4,2023
316,2024-01-26 14:29:20.084853,14,Friday,January,1,2024
317,2024-02-12 18:08:48.084858,18,Monday,February,1,2024
318,2024-03-06 19:07:32.084863,19,Wednesday,March,1,2024
319,2024-02-05 13:53:24.084869,13,Monday,February,1,2024
320,2024-03-29 06:55:37.084874,6,Friday,March,1,2024
321,2024-05-12 09:56:39.084880,9,Sunday,May,2,2024
322,2023-12-15 08:36:42.084886,8,Friday,December,4,2023
323,2024-01-25 11:45:34.084891,11,Thursday,January,1,2024
324,2024-08-28 15:25:23.084897,15,Wednesday,August,3,2024
325,2024-02-22 12:44:40.084902,12,Thursday,February,1,2024
326,2024-08-03 23:18:44.084907,23,Saturday,August,3,2024
327,2023-12-09 18:30:58.084912,18,Saturday,December,4,2023
328,2024-08-15 03:12:01.084917,3,Thursday,August,3,2024
329,2024-01-25 11:57:26.084923,11,Thursday,January,1,2024
330,2023-10-04 11:21:31.084928,11,Wednesday,October,4,2023
331,2024-07-09 01:49:07.084931,1,Tuesday,July,3,2024
332,2024-01-30 13:33:18.084934,13,Tuesday,January,1,2024
333,2024-02-17 20:25:55.084937,20,Saturday,February,1,2024
334,2024-08-30 12:14:50.084940,12,Friday,August,3,2024
335,2023-12-28 04:09:51.084943,4,Thursday,December,4,2023
336,2024-06-03 16:05:51.084946,16,Monday,June,2,2024
337,2024-05-30 12:10:23.084949,12,Thursday,May,2,2024
338,2023-09-19 02:28:08.084953,2,Tuesday,September,3,2023
339,2024-04-23 00:44:22.084956,0,Tuesday,April,2,2024
340,2024-08-26 01:26:12.084959,1,Monday,August,3,2024
341,2023-09-30 14:09:00.084962,14,Saturday,September,3,2023
342,2023-11-21 05:18:31.084965,5,Tuesday,November,4,2023
343,2024-07-13 17:06:43.084968,17,Saturday,July,3,2024
344,2024-02-22 15:07:33.084971,15,Thursday,February,1,2024
345,2024-07-02 03:22:39.084974,3,Tuesday,July,3,2024
346,2023-09-12 03:08:58.084977,3,Tuesday,September,3,2023
347,2023-09-23 17:02:12.084980,17,Saturday,September,3,2023
348,2024-01-30 10:41:49.084983,10,Tuesday,January,1,2024
349,2024-08-13 02:29:22.084986,2,Tuesday,August,3,2024
350,2024-03-09 10:22:17.084988,10,Saturday,March,1,2024
351,2024-05-13 10:54:31.084991,10,Monday,May,2,2024
352,2024-03-09 22:28:10.084994,22,Saturday,March,1,2024
353,2024-01-22 11:20:03.084997,11,Monday,January,1,2024
354,2023-10-26 19:31:57.085002,19,Thursday,October,4,2023
355,2024-03-05 22:17:57.085005,22,Tuesday,March,1,2024
356,2024-01-01 10:50:39.085008,10,Monday,January,1,2024
357,2024-07-31 21:35:34.085011,21,Wednesday,July,3,2024
358,2024-08-15 19:35:57.085013,19,Thursday,August,3,2024
359,2024-08-05 00:41:25.085016,0,Monday,August,3,2024
360,2024-07-19 17:12:45.085019,17,Friday,July,3,2024
361,2023-10-11 07:18:36.085022,7,Wednesday,October,4,2023
362,2023-11-03 03:23:19.085025,3,Friday,November,4,2023
363,2023-10-28 11:40:01.085028,11,Saturday,October,4,2023
364,2024-08-14 22:39:48.085031,22,Wednesday,August,3,2024
365,2023-10-12 07:00:38.085034,7,Thursday,October,4,2023
366,2024-06-15 22:51:23.085038,22,Saturday,June,2,2024
367,2024-05-28 21:56:55.085041,21,Tuesday,May,2,2024
368,2023-09-05 19:21:13.085043,19,Tuesday,September,3,2023
369,2024-02-17 03:06:28.085047,3,Saturday,February,1,2024
370,2024-08-23 00:41:48.085050,0,Friday,August,3,2024
371,2023-10-27 22:09:48.085053,22,Friday,October,4,2023
372,2024-09-03 09:56:14.085056,9,Tuesday,September,3,2024
373,2023-11-24 12:56:50.085058,12,Friday,November,4,2023
374,2024-06-23 04:43:25.085061,4,Sunday,June,2,2024
375,2023-09-25 21:54:52.085064,21,Monday,September,3,2023
376,2023-11-11 16:43:43.085067,16,Saturday,November,4,2023
377,2024-08-13 13:52:05.085070,13,Tuesday,August,3,2024
378,2024-04-11 19:44:58.085073,19,Thursday,April,2,2024
379,2024-03-10 17:27:06.085076,17,Sunday,March,1,2024
380,2024-03-24 15:05:54.085079,15,Sunday,March,1,2024
381,2024-03-27 00:28:12.085082,0,Wednesday,March,1,2024
382,2023-10-02 16:35:36.085148,16,Monday,October,4,2023
383,2023-09-16 09:46:11.085154,9,Saturday,September,3,2023
384,2023-12-23 06:20:36.085161,6,Saturday,December,4,2023
385,2024-04-25 00:46:55.085166,0,Thursday,April,2,2024
386,2024-06-08 14:09:37.085172,14,Saturday,June,2,2024
387,2024-07-15 10:51:53.085178,10,Monday,July,3,2024
388,2024-06-25 13:58:09.085183,13,Tuesday,June,2,2024
389,2024-02-10 21:35:54.085189,21,Saturday,February,1,2024
390,2024-08-06 00:12:35.085194,0,Tuesday,August,3,2024
391,2023-12-19 00:18:56.085200,0,Tuesday,December,4,2023
392,2024-02-04 11:22:52.085205,11,Sunday,February,1,2024
393,2023-10-17 08:00:40.085210,8,Tuesday,October,4,2023
394,2023-10-06 18:29:43.085216,18,Friday,October,4,2023
395,2024-05-07 17:17:21.085222,17,Tuesday,May,2,2024
396,2024-03-18 11:38:13.085227,11,Monday,March,1,2024
397,2024-07-20 14:56:00.085232,14,Saturday,July,3,2024
398,2024-07-29 07:02:17.085238,7,Monday,July,3,2024
399,2024-06-17 02:08:57.085243,2,Monday,June,2,2024
400,2023-11-22 18:57:39.085249,18,Wednesday,November,4,2023
401,2024-06-01 17:12:40.085255,17,Saturday,June,2,2024
402,2023-10-09 01:42:04.085267,1,Monday,October,4,2023
403,2024-06-27 20:07:46.085273,20,Thursday,June,2,2024
404,2024-08-10 17:11:05.085279,17,Saturday,August,3,2024
405,2024-01-31 01:08:49.085283,1,Wednesday,January,1,2024
406,2024-02-12 18:11:27.085288,18,Monday,February,1,2024
407,2024-01-21 17:24:05.085294,17,Sunday,January,1,2024
408,2024-07-22 09:29:20.085299,9,Monday,July,3,2024
409,2024-02-22 22:08:04.085303,22,Thursday,February,1,2024
410,2024-04-07 15:41:21.085306,15,Sunday,April,2,2024
411,2024-01-13 09:51:20.085309,9,Saturday,January,1,2024
412,2024-02-01 10:23:03.085312,10,Thursday,February,1,2024
413,2023-10-26 17:23:30.085316,17,Thursday,October,4,2023
414,2024-08-21 02:49:46.085319,2,Wednesday,August,3,2024
415,2024-01-09 09:01:24.085321,9,Tuesday,January,1,2024
416,2024-07-07 18:30:51.085324,18,Sunday,July,3,2024
417,2024-03-26 19:48:46.085327,19,Tuesday,March,1,2024
418,2024-05-08 00:03:39.085331,0,Wednesday,May,2,2024
419,2024-01-24 03:40:24.085333,3,Wednesday,January,1,2024
420,2023-10-15 10:28:40.085337,10,Sunday,October,4,2023
421,2024-03-08 03:45:06.085340,3,Friday,March,1,2024
422,2024-09-01 09:50:27.085342,9,Sunday,September,3,2024
423,2023-11-20 12:08:52.085345,12,Monday,November,4,2023
424,2024-03-31 20:59:20.085348,20,Sunday,March,1,2024
425,2024-06-18 04:44:28.085351,4,Tuesday,June,2,2024
426,2024-04-17 20:08:28.085354,20,Wednesday,April,2,2024
427,2024-08-17 18:50:54.085357,18,Saturday,August,3,2024
428,2024-03-26 13:53:10.085360,13,Tuesday,March,1,2024
429,2024-07-18 12:12:30.085363,12,Thursday,July,3,2024
430,2024-05-29 21:17:04.085366,21,Wednesday,May,2,2024
431,2024-04-10 03:28:00.085369,3,Wednesday,April,2,2024
432,2024-06-21 08:58:08.085372,8,Friday,June,2,2024
433,2024-06-28 21:35:30.085375,21,Friday,June,2,2024
434,2024-03-24 13:12:48.085378,13,Sunday,March,1,2024
435,2023-12-06 13:32:58.085381,13,Wednesday,December,4,2023
